Comparison,Spearman_Correlation,P-Value
MAASTRO original_dice_vs_iou,0.6996928476350923,6.60583187065057e-18
OUS original_dice_vs_iou,,
MAASTRO original_dice_vs_mean_cross_dice_15,0.5824239803047442,1.3155543827182453e-11
OUS original_dice_vs_mean_cross_dice_15,,
MAASTRO original_dice_vs_entropy_region_norm,,
OUS original_dice_vs_entropy_region_norm,,
MAASTRO original_dice_vs_actual_vol,0.4757801583605031,1.0053426683649009e-07
OUS original_dice_vs_actual_vol,,
MAASTRO cross_dice_vs_actual_vol,0.401340741233615,1.0551106159137646e-05
OUS cross_dice_vs_actual_vol,,
