Comparison,Spearman_Correlation,P-Value
MAASTRO original_dice_vs_iou,0.404197625353832,9.000883587574749e-06
OUS original_dice_vs_iou,0.5121457489878544,0.0008593219241202765
MAASTRO original_dice_vs_mean_cross_dice_15,0.3479689267416329,0.00015900779908093065
OUS original_dice_vs_mean_cross_dice_15,0.4892712550607287,0.0015726120079802694
MAASTRO original_dice_vs_entropy_region,0.45594029863258667,3.8783735868732066e-07
OUS original_dice_vs_entropy_region,0.22753036437246965,0.16360598815308847
MAASTRO original_dice_vs_actual_vol,0.4757801583605031,1.0053426683649009e-07
OUS original_dice_vs_actual_vol,0.302834008097166,0.060938957857571356
MAASTRO cross_dice_vs_actual_vol,0.33624159957415667,0.00027140454350516497
OUS cross_dice_vs_actual_vol,0.17692307692307696,0.28127289836701663
