Comparison,Spearman_Correlation,P-Value
MAASTRO original_dice_vs_iou,0.44772582889505597,6.618829566667361e-07
OUS original_dice_vs_iou,0.4803643724696357,0.001968003872421376
MAASTRO original_dice_vs_mean_cross_dice_20,0.4172183778029144,4.28150766798488e-06
OUS original_dice_vs_mean_cross_dice_20,0.47226720647773285,0.0024007758660183594
MAASTRO original_dice_vs_entropy_region,0.4756676730791405,1.0133138272278247e-07
OUS original_dice_vs_entropy_region,0.3431174089068826,0.0324805947352036
MAASTRO original_dice_vs_actual_vol,0.4757801583605031,1.0053426683649009e-07
OUS original_dice_vs_actual_vol,0.302834008097166,0.060938957857571356
MAASTRO cross_dice_vs_actual_vol,0.30039423780690666,0.0012261258938784528
OUS cross_dice_vs_actual_vol,0.22348178137651822,0.17143585331780678
